object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Aguzzo	0	
orth	Aguzzo	ita	
foreign	aigu	fra	
foreign	pointu	fra	
entry	Ajutante, Ajutatore	0	
orth	Ajutante	ita	
orth	Ajutatore	ita	
foreign	aide (un)	fra	
entry	Ala	0	
orth	Ala	ita	
foreign	aile	fra	
entry	Alato	0	
orth	Alato	ita	
foreign	ailé	fra	
entry	Albero	0	
orth	Albero	ita	
foreign	arbre	fra	
entry	Albicocca	0	
orth	Albicocca	ita	
foreign	abricot	fra	
entry	Albinia, Albinismo	0	
orth	Albinia	ita	
orth	Albinismo	ita	
foreign	albinisme	fra	
entry	Albino	0	
orth	Albino	ita	
foreign	albinos	fra	
entry	Albugine	0	
orth	Albugine	ita	
foreign	albugo	fra	
entry	Albugineo	0	
orth	Albugineo	ita	
foreign	albuginé	fra	
entry	Albumina	0	
orth	Albumina	ita	
foreign	albumine	fra	
entry	Albuminoso	0	
orth	Albuminoso	ita	
foreign	albumineux	fra	
entry	Alburno	0	
orth	Alburno	ita	
foreign	aubier	fra	
entry	Alcalescenza	0	
orth	Alcalescenza	ita	
foreign	alcalescence	fra	
entry	Alcali	0	
orth	Alcali	ita	
foreign	alcali	fra	
entry	Alcalimetro	0	
orth	Alcalimetro	ita	
foreign	alcalimètre	fra	
entry	Alcalinità	0	
orth	Alcalinità	ita	
foreign	alcalinité	fra	
entry	Alcalino	0	
orth	Alcalino	ita	
foreign	alcalin	fra	
entry	Alchimia, Archimia	0	
orth	Alchimia	ita	
orth	Archimia	ita	
foreign	alchimie	fra	
entry	Alcool	0	
orth	Alcool	ita	
foreign	alcool	fra	
entry	Alcoolato	0	
orth	Alcoolato	ita	
foreign	alcoolat	fra	
entry	Alcoolico	0	
orth	Alcoolico	ita	
foreign	alcoolique	fra	
entry	Alcoolizzato	0	
orth	Alcoolizzato	ita	
foreign	alcoolisé	fra	
entry	Alena	0	
orth	Alena	ita	
foreign	haleine	fra	
entry	Alessifarmaco	0	
orth	Alessifarmaco	ita	
foreign	alexipharmaque	fra	
entry	Alessipiretico	0	
orth	Alessipiretico	ita	
foreign	alexipyrétique	fra	
entry	Alezo	0	
orth	Alezo	ita	
foreign	alèse	fra	
entry	Alfo	0	
orth	Alfo	ita	
foreign	alphos	fra	
entry	Algalia	0	
orth	Algalia	ita	
foreign	algalie	fra	
entry	Algido	0	
orth	Algido	ita	
foreign	algide	fra	
entry	Alienato	0	
orth	Alienato	ita	
foreign	aliéné	fra	
entry	Alienazione	0	
orth	Alienazione	ita	
foreign	aliénation	fra	
entry	Alimentare	0	
orth	Alimentare	ita	
foreign	alimentaire	fra	
entry	Alimento	0	
orth	Alimento	ita	
foreign	aliment	fra	
entry	Alito	0	
orth	Alito	ita	
foreign	haleine	fra	
entry	Alittica	0	
orth	Alittica	ita	
foreign	aliptique (l')	fra	
entry	Alituoso	0	
orth	Alituoso	ita	
foreign	halitueux	fra	
entry	Allacciatura	0	
orth	Allacciatura	ita	
foreign	ligature	fra	
entry	Allantoico	0	
orth	Allantoico	ita	
foreign	allantoïque	fra	
entry	Allantotossico	0	
orth	Allantotossico	ita	
entry	Allattamento	0	
orth	Allattamento	ita	
foreign	allaitement	fra	
entry	Allegamento dei denti	0	
orth	Allegamento dei denti	ita	
foreign	agacement des dents	fra	
entry	Alleviamento	0	
orth	Alleviamento	ita	
foreign	soulagement	fra	
entry	Allopatia	0	
orth	Allopatia	ita	
foreign	allopathie	fra	
entry	Allotriofagia	0	
orth	Allotriofagia	ita	
foreign	allotriophagie	fra	
entry	Allucinato	0	
orth	Allucinato	ita	
foreign	halluciné	fra	
entry	Allucinazione	0	
orth	Allucinazione	ita	
foreign	hallucination	fra	
entry	Allungato (midollo)	0	
orth	Allungato (midollo)	ita	
foreign	moelle allongée	fra	
entry	Aloetico	0	
orth	Aloetico	ita	
foreign	aloétique	fra	
entry	Alopecia	0	
orth	Alopecia	ita	
foreign	alopécie	fra	
entry	Alotecnia	0	
orth	Alotecnia	ita	
foreign	halotechnie	fra	
entry	Alterante	0	
orth	Alterante	ita	
foreign	altérant	fra	
entry	Alterazione	0	
orth	Alterazione	ita	
foreign	altération	fra	
entry	Alterno	0	
orth	Alterno	ita	
foreign	alterne	fra	
entry	Alto d’avanti	0	
orth	Alto d’avanti	ita	
entry	Alto di monta	0	
orth	Alto di monta	ita	
entry	Alto calzato	0	
orth	Alto calzato	ita	
foreign	haut-chaussé	fra	
entry	Altrice (facoltà)	0	
orth	Altrice (facoltà)	ita	
foreign	faculté nutritive	fra	
entry	Alumen	0	
orth	Alumen	ita	
foreign	alun	fra	
entry	Alumina	0	
orth	Alumina	ita	
foreign	alumine	fra	
entry	Aluminio	0	
orth	Aluminio	ita	
foreign	aluminium	fra	
entry	Alveolare	0	
orth	Alveolare	ita	
foreign	alvéolaire	fra	
entry	Alveolo	0	
orth	Alveolo	ita	
foreign	alvéole	fra	
entry	Alvino	0	
orth	Alvino	ita	
foreign	alvin	fra	
entry	Alvo	0	
orth	Alvo	ita	
foreign	ventre	fra	
entry	Amalgama	0	
orth	Amalgama	ita	
foreign	amalgame	fra	
entry	Amanita	0	
orth	Amanita	ita	
foreign	amadou	fra	
entry	Amarezza	0	
orth	Amarezza	ita	
foreign	amertume	fra	
entry	Amarito	0	
orth	Amarito	ita	
entry	Amaro	0	
orth	Amaro	ita	
foreign	amer	fra	
entry	Amaurosi	0	
orth	Amaurosi	ita	
foreign	amaurose	fra	
entry	Ambiare	0	
orth	Ambiare	ita	
entry	Ambidestro	0	
orth	Ambidestro	ita	
foreign	ambidextre	fra	
entry	Ambiente	0	
orth	Ambiente	ita	
foreign	ambiant	fra	
entry	Ambio	0	
orth	Ambio	ita	
foreign	amble	fra	
entry	Ambliopia	0	
orth	Ambliopia	ita	
foreign	amblyopie	fra	
entry	Ambra	0	
orth	Ambra	ita	
foreign	ambre	fra	
entry	Ambulante	0	
orth	Ambulante	ita	
foreign	ambulant	fra	
entry	Ambustione	0	
orth	Ambustione	ita	
foreign	brûlure	fra	
entry	Amenia	0	
orth	Amenia	ita	
entry	Amenorrea	0	
orth	Amenorrea	ita	
foreign	aménorrhée	fra	
entry	Amentaceo	0	
orth	Amentaceo	ita	
foreign	amentacé	fra	
entry	Amente	0	
orth	Amente	ita	
foreign	fou	fra	
entry	Amido	0	
orth	Amido	ita	
foreign	amidon	fra	
entry	Amigdala	0	
orth	Amigdala	ita	
entry	Amigdale	0	
orth	Amigdale	ita	
foreign	amygdales (les)	fra	
entry	Amigdalina	0	
orth	Amigdalina	ita	
foreign	amygdaline	fra	
entry	Amigdalite	0	
orth	Amigdalite	ita	
foreign	amygdalite	fra	
entry	Ammacamento, Ammacatura	0	
orth	Ammacamento	ita	
orth	Ammacatura	ita	
foreign	contusion	fra	
entry	Ammalato	0	
orth	Ammalato	ita	
foreign	malade	fra	
entry	Ammicamento	0	
orth	Ammicamento	ita	
foreign	clignotement	fra	
entry	Ammoniaca	0	
orth	Ammoniaca	ita	
foreign	ammoniaque	fra	
entry	Ammoniacale	0	
orth	Ammoniacale	ita	
foreign	ammoniacal	fra	
entry	Ammoniaco	0	
orth	Ammoniaco	ita	
foreign	ammoniac	fra	
entry	Ammonio	0	
orth	Ammonio	ita	
foreign	ammonium	fra	
entry	Ammoniuro	0	
orth	Ammoniuro	ita	
foreign	ammoniure	fra	
entry	Amnio	0	
orth	Amnio	ita	
foreign	amnios	fra	
entry	Amomo	0	
orth	Amomo	ita	
foreign	amome	fra	
entry	Amore	0	
orth	Amore	ita	
foreign	amour	fra	
entry	Amorfo	0	
orth	Amorfo	ita	
foreign	amorphe	fra	
entry	Amplessatile	0	
orth	Amplessatile	ita	
foreign	amplexatïle	fra	
entry	Amplessicaule	0	
orth	Amplessicaule	ita	
foreign	amplexicaule	fra	
entry	Ampolla	0	
orth	Ampolla	ita	
foreign	ampoule	fra	
entry	Amputare	0	
orth	Amputare	ita	
foreign	amputer	fra	
entry	Amputazione	0	
orth	Amputazione	ita	
foreign	amputation	fra	
entry	Amuleto	0	
orth	Amuleto	ita	
foreign	amulette	fra	
pb	1784	1798	
entry	Anabrochismo	0	
orth	Anabrochismo	ita	
foreign	anabrochisme	fra	
entry	Anacatartico	0	
orth	Anacatartico	ita	
foreign	anacathartique	fra	
entry	Anafrodisia	0	
orth	Anafrodisia	ita	
foreign	anaphrodisie	fra	
entry	Analessia	0	
orth	Analessia	ita	
entry	Analettico	0	
orth	Analettico	ita	
foreign	analeptique	fra	
entry	Analgico	0	
orth	Analgico	ita	
foreign	anodin	fra	
entry	Analisi	0	
orth	Analisi	ita	
foreign	analyse	fra	
entry	Analitico	0	
orth	Analitico	ita	
foreign	analytique	fra	
entry	Analogia	0	
orth	Analogia	ita	
foreign	analogie	fra	
entry	Anamnestico	0	
orth	Anamnestico	ita	
foreign	anamnestique	fra	
entry	Ananasse, Ananasso	0	
orth	Ananasse	ita	
orth	Ananasso	ita	
foreign	ananas	fra	
entry	Anaplerotico	0	
orth	Anaplerotico	ita	
foreign	anaplérotique	fra	
entry	Anasarca	0	
orth	Anasarca	ita	
foreign	anasarque	fra	
entry	Anastomosi	0	
orth	Anastomosi	ita	
foreign	anastomose	fra	
entry	Anastomotico	0	
orth	Anastomotico	ita	
foreign	anastomotique	fra	
entry	Anatome, Anatomia	0	
orth	Anatome	ita	
orth	Anatomia	ita	
foreign	anatomie	fra	
entry	Anatomico	0	
orth	Anatomico	ita	
foreign	anatomique	fra	
entry	Anatomista	0	
orth	Anatomista	ita	
foreign	anatomiste	fra	
entry	Ancajone	0	
orth	Ancajone	ita	
entry	Anchiloblefaro, Anciloblefaro	0	
orth	Anchiloblefaro	ita	
orth	Anciloblefaro	ita	
foreign	ankyloblépharon	fra	
entry	Anchiloglosso, Anciloglosso 	0	
orth	Anchiloglosso	ita	
orth	Anciloglosso	ita	
foreign	ankyloglosse	fra	
entry	Anchilope	0	
orth	Anchilope	ita	
foreign	anchilops	fra	
entry	Anchilosi, Ancilosi	0	
orth	Anchilosi	ita	
orth	Ancilosi	ita	
foreign	ankylose	fra	
entry	Ancilotomia	0	
orth	Ancilotomia	ita	
entry	Anciroide	0	
orth	Anciroide	ita	
foreign	ancyroïde	fra	
entry	Ancone	0	
orth	Ancone	ita	
foreign	coude	fra	
entry	Anconeo	0	
orth	Anconeo	ita	
foreign	anconé	fra	
entry	Andare in caldo	0	
orth	Andare in caldo	ita	
entry	Andasso	0	
orth	Andasso	ita	
entry	Andatura	0	
orth	Andatura	ita	
foreign	marche	fra	
entry	Andirivieni	0	
orth	Andirivieni	ita	
foreign	replis	fra	
entry	Androgino	0	
orth	Androgino	ita	
foreign	androgyne	fra	
entry	Anelante	0	
orth	Anelante	ita	
foreign	essoufflé	fra	
entry	Anelito	0	
orth	Anelito	ita	
foreign	essoufflement	fra	
entry	Anello	0	
orth	Anello	ita	
foreign	anneau	fra	
entry	Anemasi, Anemasia, Anemia	0	
orth	Anemasi	ita	
orth	Anemasia	ita	
orth	Anemia	ita	
foreign	anémie	fra	
entry	Anemo	0	
orth	Anemo	ita	
foreign	exsangue	fra	
entry	Anemometro	0	
orth	Anemometro	ita	
foreign	anémomètre	fra	
entry	Anencefalo	0	
orth	Anencefalo	ita	
foreign	anencéphale	fra	
entry	Anestesia	0	
orth	Anestesia	ita	
foreign	anesthésie	fra	
entry	Anetico	0	
orth	Anetico	ita	
foreign	calmant	fra	
entry	Aneuria	0	
orth	Aneuria	ita	
foreign	aneurie	fra	
entry	Aneurisma	0	
orth	Aneurisma	ita	
foreign	anévrysme	fra	
entry	Aneurismale	0	
orth	Aneurismale	ita	
foreign	anévrysmal	fra	
entry	Anfiartrosi	0	
orth	Anfiartrosi	ita	
foreign	amphiarthrose	fra	
entry	Angeiologia	0	
orth	Angeiologia	ita	
foreign	angiologie	fra	
entry	Angeiorrea	0	
orth	Angeiorrea	ita	
entry	Angelica	0	
orth	Angelica	ita	
foreign	angélique	fra	
entry	Angiectasia	0	
orth	Angiectasia	ita	
