object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Benumbers	0	
orth	Benumbers	eng	
foreign	stupéfiants	fra	
entry	Benzoic acid	0	
orth	Benzoic acid	eng	
foreign	acide benzoïque	fra	
entry	Bicuspid, Bicuspidate	0	
orth	Bicuspid	eng	
orth	Bicuspidate	eng	
foreign	bicuspide	fra	
entry	Biestings	0	
orth	Biestings	eng	
foreign	colostrum	fra	
entry	Bile	0	
orth	Bile	eng	
foreign	bile	fra	
entry	Biliary	0	
orth	Biliary	eng	
foreign	biliaire	fra	
entry	Bilious	0	
orth	Bilious	eng	
foreign	bilieux	fra	
entry	Bilobed	0	
orth	Bilobed	eng	
foreign	bilobé	fra	
entry	Bilocular	0	
orth	Bilocular	eng	
foreign	biloculaire	fra	
entry	Biology	0	
orth	Biology	eng	
foreign	biologie	fra	
entry	Birdlime	0	
orth	Birdlime	eng	
foreign	glu	fra	
entry	Bitter	0	
orth	Bitter	eng	
foreign	amer	fra	
entry	Bitters	0	
orth	Bitters	eng	
foreign	amers	fra	
entry	Biventer	0	
orth	Biventer	eng	
foreign	digastrique	fra	
entry	Black draught	0	
orth	Black draught	eng	
entry	Black tongue 	0	
orth	Black tongue	eng	
entry	Black vomit	0	
orth	Black vomit	eng	
foreign	fièvre jaune	fra	
entry	Black water	0	
orth	Black water	eng	
foreign	pyrosis	fra	
entry	Bladder	0	
orth	Bladder	eng	
foreign	vessie	fra	
entry	Bladdery lever	0	
orth	Bladdery lever	eng	
foreign	pemphigus	fra	
entry	Blain	0	
orth	Blain	eng	
foreign	rupia	fra	
entry	Blear-eye	0	
orth	Blear-eye	eng	
foreign	chassie	fra	
entry	Bleb	0	
orth	Bleb	eng	
foreign	ampoule	fra	
entry	Bleeding	0	
orth	Bleeding	eng	
foreign	saignée	fra	
entry	Blindness	0	
orth	Blindness	eng	
foreign	cécité	fra	
entry	Blister	0	
orth	Blister	eng	
foreign	vésicatoire	fra	
entry	Blister-fly	0	
orth	Blister-fly	eng	
foreign	cantharide	fra	
entry	Blood	0	
orth	Blood	eng	
foreign	sang	fra	
entry	Blood-letting	0	
orth	Blood-letting	eng	
entry	Blood-shot	0	
orth	Blood-shot	eng	
entry	Blotch	0	
orth	Blotch	eng	
foreign	pustule	fra	
entry	Blue disease	0	
orth	Blue disease	eng	
foreign	cyanose	fra	
entry	Body	0	
orth	Body	eng	
foreign	corps	fra	
entry	Body (coming down of)	0	
orth	Body (coming down of)	eng	
entry	Boil	0	
orth	Boil	eng	
foreign	furoncle	fra	
entry	Bone	0	
orth	Bone	eng	
foreign	os	fra	
entry	Boracic acid	0	
orth	Boracic acid	eng	
foreign	acide boracique	fra	
entry	Botany	0	
orth	Botany	eng	
foreign	botanique	fra	
entry	Bract	0	
orth	Bract	eng	
foreign	bractée	fra	
entry	Brain	0	
orth	Brain	eng	
foreign	cerveau	fra	
entry	Brandy	0	
orth	Brandy	eng	
foreign	eau-de-vie	fra	
entry	Brass	0	
orth	Brass	eng	
foreign	cuivre	fra	
entry	Breast	0	
orth	Breast	eng	
foreign	poitrine	fra	
foreign	mamelle	fra	
entry	Breast glass	0	
orth	Breast glass	eng	
entry	Breath	0	
orth	Breath	eng	
foreign	haleine	fra	
entry	Bright’s disease	0	
orth	Bright’s disease	eng	
foreign	maladie de Bright	fra	
entry	Bronchophony	0	
orth	Bronchophony	eng	
foreign	bronchophonie	fra	
entry	Brownian System 	0	
orth	Brownian System	eng	
foreign	système de Brown	fra	
entry	Buffy coat	0	
orth	Buffy coat	eng	
entry	Bulb	0	
orth	Bulb	eng	
foreign	bulbe	fra	
entry	Bundle	0	
orth	Bundle	eng	
foreign	faisceau	fra	
entry	Burn	0	
orth	Burn	eng	
foreign	brûlure	fra	
entry	Butter	0	
orth	Butter	eng	
foreign	beurre	fra	
entry	Butter-milk	0	
orth	Butter-milk	eng	
foreign	lait de beurre	fra	
entry	Butyric acid	0	
orth	Butyric acid	eng	
foreign	acide butyrique	fra	
entry	Cabbage	0	
orth	Cabbage	eng	
foreign	chou	fra	
entry	Cachinnation	0	
orth	Cachinnation	eng	
entry	Cæsarian operation	0	
orth	Cæsarian operation	eng	
foreign	opération césarienne	fra	
entry	Caffein	0	
orth	Caffein	eng	
foreign	caféine	fra	
entry	Calcarate	0	
orth	Calcarate	eng	
entry	Calcareous	0	
orth	Calcareous	eng	
foreign	calcaire	fra	
entry	Calcigerous	0	
orth	Calcigerous	eng	
entry	Calefacient	0	
orth	Calefacient	eng	
foreign	échauffant	fra	
entry	Callosity	0	
orth	Callosity	eng	
foreign	callosité	fra	
entry	Callous	0	
orth	Callous	eng	
foreign	calleux	fra	
entry	Calmet	0	
orth	Calmet	eng	
foreign	antimoine	fra	
entry	Caloric	0	
orth	Caloric	eng	
foreign	calorique	fra	
entry	Camphor	0	
orth	Camphor	eng	
foreign	camphre	fra	
entry	Cancroid	0	
orth	Cancroid	eng	
foreign	cancroïde	fra	
entry	Cannon bone	0	
orth	Cannon bone	eng	
foreign	canon (le)	fra	
entry	Capillary	0	
orth	Capillary	eng	
foreign	capillaire	fra	
entry	Capsular	0	
orth	Capsular	eng	
foreign	capsulaire	fra	
entry	Capsule of Glisson	0	
orth	Capsule of Glisson	eng	
foreign	capsule de Glisson	fra	
entry	Carbon	0	
orth	Carbon	eng	
foreign	carbone	fra	
entry	Carbonic acid	0	
orth	Carbonic acid	eng	
foreign	acide carbonique	fra	
entry	Carbuncle	0	
orth	Carbuncle	eng	
foreign	anthrax	fra	
entry	Carbuncular exanthem	0	
orth	Carbuncular exanthem	eng	
foreign	exanthème charbonneux	fra	
entry	Carburet	0	
orth	Carburet	eng	
foreign	carbure	fra	
entry	Cardiac	0	
orth	Cardiac	eng	
foreign	cardiaque	fra	
entry	Cardinal humors	0	
orth	Cardinal humors	eng	
entry	Carious	0	
orth	Carious	eng	
entry	Carminative	0	
orth	Carminative	eng	
foreign	carminatif	fra	
entry	Carneous	0	
orth	Carneous	eng	
foreign	charnu	fra	
entry	Carotid	0	
orth	Carotid	eng	
foreign	carotide	fra	
entry	Carpel	0	
orth	Carpel	eng	
foreign	carpelle	fra	
entry	Carpopedal spasm	0	
orth	Carpopedal spasm	eng	
entry	Cartilaginous	0	
orth	Cartilaginous	eng	
foreign	cartilagineux	fra	
