object			
volume	37019	Capuron	1806
orth	Naso-surdlier		
entry	Occipito-ffôntal	0	
orth	Occipito-ffôntal		
entry	Optico-trochléi-scléroticien	0	
orth	Optico-trochléi-scléroticien		
entry	Orbito-extus^sclérôticien	0	
orth	Orbito-extus^sclérôticien		
entry	Orbito-intus-scléroticien	0	
orth	Orbito-intus-scléroticien		
entry	Orbito-palpébral	0	
orth	Orbito-palpébral		
entry	Palato-staphylin	0	
orth	Palato-staphylin		
entry	Palmaire cutané	0	
orth	Palmaire cutané		
entry	Palmi-pbalangiens	0	
orth	Palmi-pbalangiens		
entry	Périneo-clitorien	0	
orth	Périneo-clitorien		
entry	Pérniéo-uretral	0	
orth	Pérniéo-uretral		
entry	Péronéo-sous-phalangcttien du preinier orteil	0	
orth	Péronéo-sous-phalangcttien du preinier orteil		
entry	Peronéo-sous-tarsien	0	
orth	Peronéo-sous-tarsien		
entry	Péronéo-sus-phalangettien du premier orteil	0	
orth	Péronéo-sus-phalangettien du premier orteil		
entry	Périnéo-sus-phalangettien commun	0	
orth	Périnéo-sus-phalangettien commun		
entry	Petit fémoro-calcanien	0	
orth	Petit fémoro-calcanien		
entry	Petit ilio-trokantérien	0	
orth	Petit ilio-trokantérien		
entry	Petit péronéo-sus-métatarsien	0	
orth	Petit péronéo-sus-métatarsien		
entry	Pctit ptérygo-maxillaire	0	
orth	Pctit ptérygo-maxillaire		
entry	Petit scapulo-trochitérien	0	
orth	Petit scapulo-trochitérien		
entry	Petit sus-maxillo-labial	0	
orth	Petit sus-maxillo-labial		
entry	Petit trachélo-sous-occipital	0	
orth	Petit trachélo-sous-occipital		
entry	Petit zygomato-labial	0	
orth	Petit zygomato-labial		
entry	Pétro-salpingo-pharyngien	0	
orth	Pétro-salpingo-pharyngien		
entry	Pétro-staphylin	0	
orth	Pétro-staphylin		
entry	Planti-sous-phalangiens	0	
orth	Planti-sous-phalangiens		
entry	Plus petit scapulo-trochitérien	0	
