object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
foreign	androgyne	fra	
entry	Anemius furnus	0	
orth	Anemius furnus	lat	
entry	Anemometrum	0	
orth	Anemometrum	lat	
foreign	anémomètre	fra	
entry	Anemone	0	
orth	Anemone	lat	
foreign	anémone	fra	
entry	Anemoscopium	0	
orth	Anemoscopium	lat	
foreign	anémoscope	fra	
entry	Anethum	0	
orth	Anethum	lat	
foreign	fenouil	fra	
entry	Aneticus	0	
orth	Aneticus	lat	
foreign	où il y a rémission	fra	
entry	Aneurysma	0	
orth	Aneurysma	lat	
foreign	anévrysme	fra	
entry	Angina	0	
orth	Angina	lat	
foreign	angine	fra	
foreign	esquinancie	fra	
entry	Angiographia	0	
orth	Angiographia	lat	
foreign	angiographie	fra	
entry	Angiologia	0	
orth	Angiologia	lat	
foreign	angiologie	fra	
entry	Angiostegnotica	0	
orth	Angiostegnotica	lat	
entry	Angiotomia	0	
orth	Angiotomia	lat	
foreign	angiotomie	fra	
entry	Anglicus sudor	0	
orth	Anglicus sudor	lat	
foreign	suetle	fra	
entry	Angor	0	
orth	Angor	lat	
foreign	angoisse	fra	
foreign	esquinancie	fra	
entry	Anguilla	0	
orth	Anguilla	lat	
foreign	anguille	fra	
entry	Anguis	0	
orth	Anguis	lat	
foreign	serpent	fra	
entry	Angulus	0	
orth	Angulus	lat	
foreign	coin	fra	
foreign	angle	fra	
entry	Angustatio, angustia	0	
orth	Angustatio	lat	
orth	angustia	lat	
foreign	angustie	fra	
entry	Anhelatio	0	
orth	Anhelatio	lat	
foreign	anhilation	fra	
foreign	asthme	fra	
entry	Anhelitus	0	
orth	Anhelitus	lat	
foreign	haleine	fra	
entry	Anima	0	
orth	Anima	lat	
foreign	âme	fra	
entry	Animal	0	
orth	Animal	lat	
foreign	animal	fra	
entry	Animalculum	0	
orth	Animalculum	lat	
foreign	animalcule	fra	
entry	Animatio	0	
orth	Animatio	lat	
foreign	animation	fra	
entry	Animi deliquium	0	
orth	Animi deliquium	lat	
foreign	lipothymie	fra	
entry	Ani scalptor musculus, Ani scalptorlatissimus	0	
orth	Ani scalptor musculus	lat	
orth	Ani scalptorlatissimus	lat	
foreign	le grand dorsal	fra	
entry	Anisum	0	
orth	Anisum	lat	
foreign	anis	fra	
entry	Annularis	0	
orth	Annularis	lat	
foreign	annulaire	fra	
entry	Annulatus	0	
orth	Annulatus	lat	
foreign	annelé	fra	
entry	Annulus	0	
orth	Annulus	lat	
foreign	anneau	fra	
entry	Annulus osseus	0	
orth	Annulus osseus	lat	
entry	Annus climactericus	0	
orth	Annus climactericus	lat	
foreign	année clima- - térique	fra	
entry	Anodynus	0	
orth	Anodynus	lat	
foreign	anodin	fra	
entry	Anomala febris	0	
orth	Anomala febris	lat	
foreign	fièvre anomale	fra	
entry	Anomalia	0	
orth	Anomalia	lat	
foreign	anomalie	fra	
entry	Anomalus	0	
orth	Anomalus	lat	
foreign	anomal	fra	
entry	Anomœomeres	0	
orth	Anomœomeres	lat	
foreign	hétérogène	fra	
entry	Anorexia	0	
orth	Anorexia	lat	
foreign	anorexie	fra	
foreign	inappétence	fra	
entry	Anosmia	0	
orth	Anosmia	lat	
foreign	anosmie	fra	
entry	Anosphresia	0	
orth	Anosphresia	lat	
foreign	perte de l’olfaction	fra	
entry	Ansa capitis	0	
orth	Ansa capitis	lat	
foreign	l’apophyse zygomatique	fra	
entry	Anser	0	
orth	Anser	lat	
foreign	oie	fra	
entry	Antagonismus	0	
orth	Antagonismus	lat	
foreign	antagonisme	fra	
entry	Antagonista	0	
orth	Antagonista	lat	
foreign	antagoniste	fra	
entry	Antalgicus	0	
orth	Antalgicus	lat	
foreign	antalgique	fra	
entry	Antaphrodisiacus	0	
orth	Antaphrodisiacus	lat	
foreign	antaphrodisiaque	fra	
entry	Antecedens	0	
orth	Antecedens	lat	
foreign	antécédent	fra	
entry	Antemeticus	0	
orth	Antemeticus	lat	
foreign	antémé tique	fra	
entry	Anteponens febris	0	
orth	Anteponens febris	lat	
foreign	fièvre anticipante	fra	
entry	Anthelix	0	
orth	Anthelix	lat	
foreign	anthélix	fra	
entry	Anthelminthicus	0	
orth	Anthelminthicus	lat	
foreign	anthelminthique	fra	
entry	Anthemis	0	
orth	Anthemis	lat	
foreign	camomille	fra	
entry	Anlhera medicamenta	0	
orth	Anlhera medicamenta	lat	
entry	Anthologia	0	
orth	Anthologia	lat	
foreign	anthologie	fra	
entry	Anthracodes	0	
