object			
entry	Alexipyrétique	0	
orth	Alexipyrétique		
foreign	alexipyreticus	lat	
clique	Fébrifuge		
clique	ΑVTI1’ÉBRILE		
entry	Alexitère	0	
orth	Alexitère		
entry	Algalie	0	
orth	Algalie		
clique	Cathéter		
entry	Algaroth	0	
orth	Algaroth		
entry	Algèbre	0	
orth	Algèbre		
foreign	algebra	lat	
entry	Algedo	0	
orth	Algedo		
entry	Algorithme	0	
orth	Algorithme		
entry	Algues	0	
orth	Algues		
foreign	algœ	lat	
entry	Alhandal	0	
orth	Alhandal		
entry	Alica, Halica	0	
orth	Alica		
orth	Halica		
foreign	alica	lat	
entry	Alidade	0	
orth	Alidade		
foreign	dioptra	lat	
entry	Aliment	0	
orth	Aliment		
foreign	alimentum	lat	
entry	Alimentaire	0	
orth	Alimentaire		
foreign	alimenta	lat	
entry	Alimenter	0	
orth	Alimenter		
foreign	alere	lat	
entry	Alimenteux	0	
orth	Alimenteux		
foreign	alensj	lat	
entry	Aliptique	0	
orth	Aliptique		
foreign	aliptice	lat	
entry	Aliquante	0	
orth	Aliquante		
entry	Aliquote	1	
orth	Aliquote		
pb	14		
entry	Aliter (s')	0	
orth	Aliter (s')		
foreign	in morbuni incidere	lat	
entry	Alizé	0	
orth	Alizé		
foreign	etesiœ	lat	
foreign	arum	lat	
entry	Alkermès	0	
orth	Alkermès		
clique	Kermès		
entry	Allaitement	0	
orth	Allaitement		
foreign	lactatus	lat	
foreign	üs	lat	
entry	Allaiter	0	
orth	Allaiter		
foreign	lactare	lat	
entry	Allantoïde	0	
orth	Allantoïde		
foreign	allantoïs	lat	
entry	Allégement	0	
orth	Allégement		
foreign	levamentum	lat	
entry	Alliage	0	
orth	Alliage		
foreign	alligatio	lat	
foreign	metallorum permistio	lat	
entry	Alluvion	0	
orth	Alluvion		
foreign	alluvio	lat	
entry	Almageste	0	
orth	Almageste		
entry	Almanach	0	
orth	Almanach		
entry	Almicantarat	0	
orth	Almicantarat		
entry	Alogotrophie	0	
orth	Alogotrophie		
foreign	alog&tre*	lat	
entry	Aloi	0	
orth	Aloi		
foreign	nummi probitas	lat	
entry	Alopécie	0	
orth	Alopécie		
foreign	alopecia	lat	
entry	Alphénic	0	
orth	Alphénic		
entry	Alphonsin	0	
orth	Alphonsin		
entry	Alphus, Alphos	0	
orth	Alphus		
orth	Alphos		
foreign	vitiligo	lat	
entry	Alquifoux	0	
orth	Alquifoux		
entry	Altérant	0	
orth	Altérant		
foreign	sitictclosus	lat	
foreign	aduiterare	lat	
entry	Altération	0	
orth	Altération		
foreign	sitis	lat	
entry	Alterne	0	
orth	Alterne		
foreign	alternus	lat	
entry	Althaea	0	
orth	Althaea		
pb	15		
entry	Altimétrie	0	
orth	Altimétrie		
foreign	althnetria	lat	
entry	Aludel	0	
orth	Aludel		
entry	Alumine	0	
orth	Alumine		
foreign	alumen	lat	
entry	Alumineux	0	
orth	Alumineux		
foreign	alurninosus	lat	
entry	Alun	0	
orth	Alun		
foreign	alumen	lat	
entry	Aluner	0	
orth	Aluner		
entry	Alunière	0	
orth	Alunière		
entry	Alvéolaire	0	
