object			
entry	Origano-cognata	0	
orth	Origano-cognata	lat	
entry	Origanum	1	
orth	Origanum	lat	
pb	191	0098	
entry	Orionius	0	
orth	Orionius	lat	
entry	Orizeum	0	
orth	Orizeum	lat	
entry	Orleana	0	
orth	Orleana	lat	
entry	Orminum	0	
orth	Orminum	lat	
entry	Orms	0	
orth	Orms	lat	
entry	Ornithiæ	0	
orth	Ornithiæ	lat	
entry	Ornithogalum	0	
orth	Ornithogalum	lat	
entry	Ornithoglossum	0	
orth	Ornithoglossum	lat	
entry	Ornithopodium	1	
orth	Ornithopodium	lat	
pb	193	0099	
entry	Ornus	0	
orth	Ornus	lat	
entry	Orobanche	0	
orth	Orobanche	lat	
entry	Orobion	0	
orth	Orobion	lat	
entry	Oroboeides hyposthasis	0	
orth	Oroboeides hyposthasis	lat	
entry	Orobo	0	
orth	Orobo	lat	
entry	Orobus	0	
orth	Orobus	lat	
entry	Orogamo	0	
orth	Orogamo	lat	
entry	Oros	1	
orth	Oros	lat	
pb	195	0100	
entry	Orrhagogon	0	
orth	Orrhagogon	lat	
entry	Orrhopissa	0	
orth	Orrhopissa	lat	
entry	Orrhopygion	0	
orth	Orrhopygion	lat	
entry	Orrhos	0	
orth	Orrhos	lat	
entry	Orrhos	0	
orth	Orrhos	lat	
entry	Orthocolon	0	
orth	Orthocolon	lat	
entry	Orthodoron	0	
orth	Orthodoron	lat	
entry	Orthopnoea	0	
orth	Orthopnoea	lat	
entry	Orthostaden	0	
orth	Orthostaden	lat	
entry	Orvala	0	
orth	Orvala	lat	
entry	Orucoria	0	
orth	Orucoria	lat	
entry	Orvietanum	1	
orth	Orvietanum	lat	
pb	197	0101	
entry	Orycalus	0	
orth	Orycalus	lat	
entry	Oryx	0	
orth	Oryx	lat	
entry	Oryza	1	
orth	Oryza	lat	
pb	199	0102	
entry	Os	36	
orth	Os	lat	
pb	201	0103	
pb	203	0104	
pb	205	0105	
pb	207	0106	
pb	209	0107	
pb	211	0108	
pb	213	0109	
pb	215	0110	
pb	217	0111	
pb	219	0112	
pb	221	0113	
pb	223	0114	
pb	225	0115	
pb	227	0116	
pb	229	0117	
pb	231	0118	
pb	233	0119	
pb	235	0120	
pb	237	0121	
pb	239	0122	
pb	241	0123	
pb	243	0124	
pb	245	0125	
pb	247	0126	
pb	249	0127	
pb	251	0128	
pb	253	0129	
pb	255	0130	
pb	257	0131	
pb	259	0132	
pb	261	0133	
pb	263	0134	
pb	265	0135	
pb	267	0136	
pb	269	0137	
pb	271	0138	
entry	Os	0	
orth	Os	lat	
entry	Osatis	0	
orth	Osatis	lat	
entry	Oschealis hernia	0	
orth	Oschealis hernia	lat	
entry	Oscedo	0	
orth	Oscedo	lat	
entry	Oscheocele	0	
orth	Oscheocele	lat	
entry	Oscheon	0	
orth	Oscheon	lat	
entry	Oscitatio	1	
orth	Oscitatio	lat	
pb	273	0139	
entry	Oseus	0	
orth	Oseus	lat	
entry	Osmunda	1	
orth	Osmunda	lat	
pb	275	0140	
entry	Osoror	0	
orth	Osoror	lat	
entry	Osprion	0	
orth	Osprion	lat	
entry	Ossa paralleli	0	
orth	Ossa paralleli	lat	
entry	Ossificatio	1	
orth	Ossificatio	lat	
pb	277	0141	
entry	Ossifraga	0	
orth	Ossifraga	lat	
entry	Ossifragus	0	
orth	Ossifragus	lat	
entry	Ossisana	0	
orth	Ossisana	lat	
entry	Ostagra	0	
orth	Ostagra	lat	
entry	Osteocolla	0	
orth	Osteocolla	lat	
entry	Osteocopos	0	
orth	Osteocopos	lat	
entry	Osteogenica	0	
orth	Osteogenica	lat	
entry	Osteologia	0	
orth	Osteologia	lat	
entry	Ostiarus	0	
orth	Ostiarus	lat	
entry	Ostracites	1	
orth	Ostracites	lat	
pb	279	0142	
entry	Ostrites	0	
orth	Ostrites	lat	
entry	Ostritium	0	
orth	Ostritium	lat	
entry	Ostrya	0	
orth	Ostrya	lat	
entry	Ostrys	0	
orth	Ostrys	lat	
entry	Osyris	0	
orth	Osyris	lat	
entry	Otalgia	0	
orth	Otalgia	lat	
entry	Otenchytes	0	
orth	Otenchytes	lat	
entry	Othani	0	
orth	Othani	lat	
entry	Othonna	0	
orth	Othonna	lat	
entry	Otis	0	
orth	Otis	lat	
entry	Otites	0	
orth	Otites	lat	
entry	Ovaria	0	
orth	Ovaria	lat	
entry	Ovatus, Oviformis humor	0	
orth	Ovatus	lat	
orth	Oviformis humor	lat	
entry	Oviductus	0	
orth	Oviductus	lat	
entry	Ovis	1	
orth	Ovis	lat	
pb	281	0143	
entry	Ovum	1	
orth	Ovum	lat	
pb	283	0144	
entry	Oxalis	0	
orth	Oxalis	lat	
entry	Oxalme	0	
orth	Oxalme	lat	
entry	Oxelæum	0	
orth	Oxelæum	lat	
entry	Oxerum emplastrum	0	
orth	Oxerum emplastrum	lat	
entry	Oxines	0	
orth	Oxines	lat	
entry	Oxos	0	
orth	Oxos	lat	
entry	Oxya	0	
orth	Oxya	lat	
entry	Oxyacantha	0	
orth	Oxyacantha	lat	
entry	Oxybaphon	0	
orth	Oxybaphon	lat	
entry	Oxycoccus	0	
orth	Oxycoccus	lat	
entry	Oxycratum	0	
orth	Oxycratum	lat	
entry	Oxycroceum emplastrum	0	
orth	Oxycroceum emplastrum	lat	
entry	Oxydorgia	0	
orth	Oxydorgia	lat	
entry	Oxygala	0	
orth	Oxygala	lat	
entry	Oxygarum	0	
orth	Oxygarum	lat	
entry	Oxyglycu	0	
orth	Oxyglycu	lat	
entry	Oxylapathum	0	
orth	Oxylapathum	lat	
entry	Oxylipes	0	
orth	Oxylipes	lat	
entry	Oxymel	0	
orth	Oxymel	lat	
entry	Oxymyrrhine	0	
orth	Oxymyrrhine	lat	
entry	Oxynitrum	0	
orth	Oxynitrum	lat	
entry	Oxypetra	0	
orth	Oxypetra	lat	
entry	Oxyphlegmasia	0	
orth	Oxyphlegmasia	lat	
entry	Oxyphœnica	0	
orth	Oxyphœnica	lat	
entry	Oxyphyllon	0	
orth	Oxyphyllon	lat	
entry	Oxyporon	1	
orth	Oxyporon	lat	
pb	285	0145	
entry	Oxyregmia	0	
orth	Oxyregmia	lat	
entry	Oxyrrhodinon	0	
orth	Oxyrrhodinon	lat	
entry	Oxys	0	
orth	Oxys	lat	
entry	Oxys	0	
orth	Oxys	lat	
entry	Oxysaccharum	0	
orth	Oxysaccharum	lat	
entry	Oxysal diaphoreticum angeli salæ	0	
orth	Oxysal diaphoreticum angeli salæ	lat	
entry	Oxyschoenos	0	
orth	Oxyschoenos	lat	
entry	Oxytoca	0	
orth	Oxytoca	lat	
entry	Oxytriphyllum	0	
orth	Oxytriphyllum	lat	
entry	Ozæna	0	
orth	Ozæna	lat	
entry	Oze	0	
orth	Oze	lat	
entry	Ozeman	0	
orth	Ozeman	lat	
entry	Ozo	0	
orth	Ozo	lat	
pb	287	0146	
entry	P	0	
orth	P	lat	
entry	Pacal	0	
orth	Pacal	lat	
entry	Paccianum	0	
orth	Paccianum	lat	
entry	Pachuntica	0	
orth	Pachuntica	lat	
entry	Pachys	0	
orth	Pachys	lat	
entry	Paco caatinga	1	
orth	Paco caatinga	lat	
pb	289	0147	
entry	Pacoeira	0	
orth	Pacoeira	lat	
entry	Pacoseroca	0	
orth	Pacoseroca	lat	
entry	Pacourii	0	
orth	Pacourii	lat	
entry	Padri	0	
orth	Padri	lat	
entry	Padus	0	
orth	Padus	lat	
entry	Paedanchone	0	
orth	Paedanchone	lat	
entry	Pædarthrocace	0	
orth	Pædarthrocace	lat	
entry	Pædophlebotomia	0	
orth	Pædophlebotomia	lat	
entry	Paenoe	0	
orth	Paenoe	lat	
entry	Pæonia	1	
orth	Pæonia	lat	
pb	291	0148	
entry	Pæpale	0	
orth	Pæpale	lat	
entry	Paganina	0	
orth	Paganina	lat	
entry	Pagoyum	0	
orth	Pagoyum	lat	
entry	Pagrus	0	
orth	Pagrus	lat	
entry	Paianeli	1	
orth	Paianeli	lat	
pb	293	0149	
entry	Paiomirioba	0	
orth	Paiomirioba	lat	
entry	Paiparoca	0	
orth	Paiparoca	lat	
entry	Pala	0	
orth	Pala	lat	
entry	Palæste	0	
orth	Palæste	lat	
entry	Palætyrus	0	
orth	Palætyrus	lat	
entry	Palatinæ glandulæ	0	
orth	Palatinæ glandulæ	lat	
entry	Palatum	2	
orth	Palatum	lat	
pb	295	0150	
pb	297	0151	
entry	Pale	0	
orth	Pale	lat	
entry	Palear	0	
orth	Palear	lat	
entry	Palega-paianeli	0	
orth	Palega-paianeli	lat	
entry	Palimbolos	0	
orth	Palimbolos	lat	
entry	Palimpissa	0	
orth	Palimpissa	lat	
entry	Palincotos	0	
orth	Palincotos	lat	
entry	Palindromia	0	
orth	Palindromia	lat	
entry	Palingenesia	0	
orth	Palingenesia	lat	
entry	Palinidrysis	0	
orth	Palinidrysis	lat	
entry	Palinoptos	0	
orth	Palinoptos	lat	
entry	Palirrhœa	0	
orth	Palirrhœa	lat	
entry	Paliurus	0	
orth	Paliurus	lat	
entry	Pallax	0	
orth	Pallax	lat	
entry	Palliatio	1	
orth	Palliatio	lat	
pb	299	0152	
entry	Pallium purpureum	0	
orth	Pallium purpureum	lat	
entry	Palma	4	
orth	Palma	lat	
pb	301	0153	
pb	303	0154	
pb	305	0155	
pb	307	0156	
entry	Palmaris musculus	0	
orth	Palmaris musculus	lat	
entry	Palmata	0	
orth	Palmata	lat	
entry	Palmos	0	
orth	Palmos	lat	
entry	Palmula	0	
orth	Palmula	lat	
entry	Palpebræ	0	
orth	Palpebræ	lat	
entry	Palpitatio	8	
orth	Palpitatio	lat	
pb	309	0157	
pb	311	0158	
pb	313	0159	
pb	315	0160	
pb	317	0161	
pb	319	0162	
pb	321	0163	
pb	323	0164	
entry	Paltifera arbor	0	
orth	Paltifera arbor	lat	
entry	Paludapium	0	
orth	Paludapium	lat	
entry	Palumbus	0	
orth	Palumbus	lat	
entry	Pampathes	0	
orth	Pampathes	lat	
entry	Pamphilion	0	
orth	Pamphilion	lat	
entry	Pampiniforme corpus	0	
orth	Pampiniforme corpus	lat	
entry	Pampinus	0	
orth	Pampinus	lat	
entry	Panacea	0	
orth	Panacea	lat	
entry	Panalethes	0	
orth	Panalethes	lat	
entry	Panaritium	0	
orth	Panaritium	lat	
entry	Panata, Panatella	0	
orth	Panata	lat	
orth	Panatella	lat	
entry	Panax asclepium	1	
orth	Panax asclepium	lat	
pb	325	0165	
entry	Pancala aurea	0	
orth	Pancala aurea	lat	
entry	Pancarpia	0	
orth	Pancarpia	lat	
entry	Pancaseolus	0	
orth	Pancaseolus	lat	
entry	Panchrestos	0	
orth	Panchrestos	lat	
entry	Panchrysos	0	
orth	Panchrysos	lat	
entry	Panchymagogum	0	
orth	Panchymagogum	lat	
entry	Pancoenos	0	
orth	Pancoenos	lat	
entry	Pancratianus pulvis	0	
orth	Pancratianus pulvis	lat	
entry	Pancratium	0	
orth	Pancratium	lat	
entry	Pancreas	2	
orth	Pancreas	lat	
pb	327	0166	
pb	329	0167	
entry	Pancrene	0	
orth	Pancrene	lat	
entry	Pandaleon	0	
orth	Pandaleon	lat	
entry	Pandalitium	0	
orth	Pandalitium	lat	
entry	Pandemius	0	
orth	Pandemius	lat	
entry	Pandiculatio	0	
orth	Pandiculatio	lat	
entry	Pandipavel	0	
orth	Pandipavel	lat	
entry	Panem-palka	0	
orth	Panem-palka	lat	
entry	Panja-panjala	0	
orth	Panja-panjala	lat	
entry	Panicula	0	
orth	Panicula	lat	
entry	Panicula	0	
orth	Panicula	lat	
entry	Panicum	0	
orth	Panicum	lat	
entry	Panis	1	
orth	Panis	lat	
pb	331	0168	
entry	Panitsgica	0	
orth	Panitsgica	lat	
entry	Panniculus adiposus	0	
orth	Panniculus adiposus	lat	
entry	Pannus	0	
orth	Pannus	lat	
entry	Panochiæ	0	
orth	Panochiæ	lat	
entry	Pantagathos antidotus	0	
orth	Pantagathos antidotus	lat	
entry	Pantagogus	0	
orth	Pantagogus	lat	
entry	Pantheæ	0	
orth	Pantheæ	lat	
entry	Panthera	0	
orth	Panthera	lat	
entry	Pantices	0	
orth	Pantices	lat	
entry	Pantolinus pastillus	0	
orth	Pantolinus pastillus	lat	
entry	Pantolmius	0	
orth	Pantolmius	lat	
entry	Panus, Panis, Panicula, Panula	1	
orth	Panus	lat	
orth	Panis	lat	
orth	Panicula	lat	
orth	Panula	lat	
pb	333	0169	
entry	Panygron	0	
orth	Panygron	lat	
entry	Papaver	2	
orth	Papaver	lat	
pb	335	0170	
pb	337	0171	
entry	Papaya	1	
orth	Papaya	lat	
pb	339	0172	
entry	Papayamarum	0	
orth	Papayamarum	lat	
entry	Papilla	0	
orth	Papilla	lat	
entry	Papillare os	0	
orth	Papillare os	lat	
entry	Papillares processus	0	
orth	Papillares processus	lat	
entry	Papio, Pavio	0	
orth	Papio	lat	
orth	Pavio	lat	
entry	Pappa	0	
orth	Pappa	lat	
entry	Pappus	0	
orth	Pappus	lat	
entry	Papula	0	
orth	Papula	lat	
entry	Papyrus	0	
orth	Papyrus	lat	
entry	Par	0	
orth	Par	lat	
entry	Para	0	
orth	Para	lat	
entry	Parabolani	1	
orth	Parabolani	lat	
pb	341	0173	
entry	Parabolicus ignis	0	
orth	Parabolicus ignis	lat	
entry	Paracelsus	0	
orth	Paracelsus	lat	
entry	Paracentesis	0	
orth	Paracentesis	lat	
entry	Paracmasticos	0	
orth	Paracmasticos	lat	
entry	Paracme	0	
orth	Paracme	lat	
entry	Paracoe	0	
orth	Paracoe	lat	
entry	Paracolleticos	0	
orth	Paracolleticos	lat	
entry	Paracope	0	
orth	Paracope	lat	
entry	Paracrusis	0	
orth	Paracrusis	lat	
entry	Paracynanche	0	
orth	Paracynanche	lat	
entry	Paradisi grana	0	
orth	Paradisi grana	lat	
entry	Paragoge	0	
orth	Paragoge	lat	
entry	Paralampsis	0	
orth	Paralampsis	lat	
entry	Paralius	0	
orth	Paralius	lat	
entry	Parallaxis	0	
orth	Parallaxis	lat	
entry	Parallela	0	
orth	Parallela	lat	
entry	Paralophia	0	
orth	Paralophia	lat	
entry	Paralysis	9	
orth	Paralysis	lat	
pb	343	0174	
pb	345	0175	
pb	347	0176	
pb	349	0177	
pb	351	0178	
pb	353	0179	
pb	355	0180	
pb	357	0181	
pb	359	0182	
entry	Parameria	0	
orth	Parameria	lat	
entry	Paramesos	0	
orth	Paramesos	lat	
entry	Paranoea	0	
orth	Paranoea	lat	
entry	Parapar	0	
orth	Parapar	lat	
entry	Parapechion	0	
orth	Parapechion	lat	
entry	Paraphimosis	1	
orth	Paraphimosis	lat	
pb	361	0183	
entry	Paraphora	0	
orth	Paraphora	lat	
entry	Paraphrenitis	1	
orth	Paraphrenitis	lat	
pb	363	0184	
entry	Paraphrosyne	0	
orth	Paraphrosyne	lat	
entry	Paraplegia	0	
orth	Paraplegia	lat	
entry	Pararma	0	
orth	Pararma	lat	
entry	Pararthrema	0	
orth	Pararthrema	lat	
entry	Pararrhythmos	0	
orth	Pararrhythmos	lat	
entry	Paraschides	0	
orth	Paraschides	lat	
entry	Paraseisma	0	
orth	Paraseisma	lat	
entry	Parasitæ plantæ	0	
orth	Parasitæ plantæ	lat	
entry	Parasphagis	0	
orth	Parasphagis	lat	
entry	Parastatæ	0	
orth	Parastatæ	lat	
entry	Parastremma	0	
orth	Parastremma	lat	
entry	Parasynanche	0	
orth	Parasynanche	lat	
entry	Parathenar	0	
orth	Parathenar	lat	
entry	Pardalianches	0	
orth	Pardalianches	lat	
entry	Pardus	0	
orth	Pardus	lat	
entry	Pareas	0	
orth	Pareas	lat	
entry	Paredria	0	
orth	Paredria	lat	
entry	Paregoricus	0	
orth	Paregoricus	lat	
entry	Pareira brava	1	
orth	Pareira brava	lat	
pb	365	0185	
entry	Parencephalis	0	
orth	Parencephalis	lat	
entry	Parenchyma	0	
orth	Parenchyma	lat	
entry	Paresis	0	
orth	Paresis	lat	
entry	Parietalia ossa	0	
orth	Parietalia ossa	lat	
entry	Parietaria	1	
orth	Parietaria	lat	
pb	367	0186	
entry	Parili	0	
orth	Parili	lat	
