object			
volume	37019	Capuron	1806
foreign	alambic	fra	
entry	Alere	0	
orth	Alere	lat	
foreign	nourrir	fra	
entry	Alexipharmacus	0	
orth	Alexipharmacus	lat	
foreign	alexipharmaque	fra	
entry	Alexipyreticus	0	
orth	Alexipyreticus	lat	
foreign	alexipyrétique	fra	
entry	Alexipyretus	0	
orth	Alexipyretus	lat	
foreign	alexipyrétique	fra	
entry	Alexiterius	0	
orth	Alexiterius	lat	
foreign	alexitère	fra	
entry	Alga	0	
orth	Alga	lat	
foreign	algue	fra	
entry	Algali	0	
orth	Algali	lat	
foreign	algali	fra	
entry	Algebra	0	
orth	Algebra	lat	
foreign	algèbre	fra	
entry	Algedo	0	
orth	Algedo	lat	
foreign	algedo	fra	
entry	Alimentum	0	
orth	Alimentum	lat	
foreign	aliment	fra	
entry	Aliptœ	0	
orth	Aliptœ	lat	
foreign	frotteurs	fra	
entry	Aliptice	0	
orth	Aliptice	lat	
foreign	aliptique	fra	
entry	Alitura	0	
orth	Alitura	lat	
foreign	nutrition	fra	
entry	Alkaest	0	
orth	Alkaest	lat	
foreign	alcahest	fra	
entry	Alkali	0	
orth	Alkali	lat	
foreign	alcali	fra	
entry	Alkahol, Alkohol	0	
orth	Alkahol	lat	
orth	Alkohol	lat	
foreign	alcohol	fra	
entry	Allantoïs	0	
orth	Allantoïs	lat	
foreign	allantoïde	fra	
entry	Alligatio	0	
orth	Alligatio	lat	
foreign	alliage	fra	
entry	Allucinatio	0	
orth	Allucinatio	lat	
foreign	hallucination	fra	
entry	Alluvio	0	
orth	Alluvio	lat	
foreign	alluvion	fra	
entry	Alogotrophia	0	
orth	Alogotrophia	lat	
foreign	alogotrophie	fra	
entry	Alopecia	0	
orth	Alopecia	lat	
foreign	alopécie	fra	
foreign	pélade	fra	
entry	Alphenic	0	
orth	Alphenic	lat	
foreign	alphenic	fra	
entry	Alphitedon	0	
orth	Alphitedon	lat	
foreign	fracture	fra	
entry	Alphus	0	
orth	Alphus	lat	
foreign	alphus	fra	
entry	Alterans	0	
orth	Alterans	lat	
foreign	altérant	fra	
entry	Alteratio	0	
orth	Alteratio	lat	
foreign	altération	fra	
entry	Alternus	0	
orth	Alternus	lat	
foreign	alterne	fra	
entry	Althæa	0	
orth	Althæa	lat	
foreign	althæa	fra	
entry	Altimetria	0	
orth	Altimetria	lat	
foreign	altimétrie	fra	
entry	Aludel	0	
orth	Aludel	lat	
foreign	aludel	fra	
entry	Alumen	0	
orth	Alumen	lat	
foreign	alun	fra	
entry	Aluminosus	0	
orth	Aluminosus	lat	
foreign	alumineux	fra	
entry	Alveolaris	0	
orth	Alveolaris	lat	
foreign	alvéolaire	fra	
entry	Alveolatus	0	
orth	Alveolatus	lat	
foreign	alvéolé	fra	
entry	Alveolus	0	
orth	Alveolus	lat	
foreign	alvéole	fra	
entry	Alvinus	0	
orth	Alvinus	lat	
foreign	alvin	fra	
entry	Alvi profluvium	0	
orth	Alvi profluvium	lat	
foreign	cours de ventre	fra	
entry	Alvus	0	
orth	Alvus	lat	
foreign	ventre	fra	
entry	Alysmus	0	
orth	Alysmus	lat	
foreign	anxiété	fra	
entry	Amalgama	0	
orth	Amalgama	lat	
foreign	amalgame	fra	
entry	Amalgamatio	0	
orth	Amalgamatio	lat	
foreign	amalgamation	fra	
entry	Amaror	0	
orth	Amaror	lat	
foreign	amertume	fra	
entry	Amarus	0	
orth	Amarus	lat	
foreign	amer	fra	
entry	Amatoria febris	0	
orth	Amatoria febris	lat	
foreign	chlorose	fra	
entry	Amaurosis	0	
orth	Amaurosis	lat	
foreign	amaurose	fra	
entry	Ambarum	0	
orth	Ambarum	lat	
foreign	ambre	fra	
entry	Ambi	0	
orth	Ambi	lat	
foreign	ambi	fra	
entry	Ambidexter	0	
orth	Ambidexter	lat	
foreign	ambidextre	fra	
entry	Ambiens	0	
orth	Ambiens	lat	
foreign	ambiant	fra	
entry	Amblygonus	0	
orth	Amblygonus	lat	
foreign	amblygone	fra	
entry	Amblyopia	0	
orth	Amblyopia	lat	
foreign	amblyopie	fra	
entry	Ambulans	0	
orth	Ambulans	lat	
foreign	ambulant	fra	
entry	Ambulare	0	
orth	Ambulare	lat	
foreign	marcher	fra	
entry	Amentaceus	0	
orth	Amentaceus	lat	
foreign	amentacé	fra	
entry	Amenorrhœa	0	
orth	Amenorrhœa	lat	
foreign	aménorrhée	fra	
entry	Amentia	0	
orth	Amentia	lat	
foreign	démence	fra	
entry	Amiantus	0	
orth	Amiantus	lat	
foreign	amiante	fra	
entry	Ammoniacum	0	
orth	Ammoniacum	lat	
foreign	ammoniaque	fra	
entry	Amnios	0	
orth	Amnios	lat	
foreign	amnios	fra	
entry	Amnium	0	
orth	Amnium	lat	
foreign	amnios	fra	
entry	Amphiarthrosis	0	
orth	Amphiarthrosis	lat	
foreign	amphiarthrose	fra	
entry	Amphibiolithes	0	
orth	Amphibiolithes	lat	
foreign	amphibiolithe	fra	
entry	Amphibius	0	
orth	Amphibius	lat	
foreign	amphibie	fra	
entry	Amphiblestroïdes	0	
orth	Amphiblestroïdes	lat	
foreign	amphiblestroïde	fra	
entry	Amphibranchiœ	0	
orth	Amphibranchiœ	lat	
foreign	amphibranchies	fra	
entry	Amphiplex	0	
orth	Amphiplex	lat	
foreign	périnée	fra	
entry	Amphisbena	0	
orth	Amphisbena	lat	
foreign	amphisbène	fra	
entry	Amphiscii	0	
orth	Amphiscii	lat	
foreign	amphisciens	fra	
entry	Amphismilum	0	
orth	Amphismilum	lat	
foreign	amphismile	fra	
entry	Amphitheatrum	0	
orth	Amphitheatrum	lat	
foreign	amphithéâtre	fra	
entry	Amphitritœ	0	
orth	Amphitritœ	lat	
foreign	amphitrites	fra	
entry	Amplexicaulis	0	
orth	Amplexicaulis	lat	
foreign	amplexicaule	fra	
entry	Amplitudo	0	
orth	Amplitudo	lat	
foreign	amplitude	fra	
entry	Ampulla	0	
orth	Ampulla	lat	
foreign	ampoule	fra	
entry	Amputatio	0	
orth	Amputatio	lat	
foreign	amputation	fra	
entry	Amuletum	0	
orth	Amuletum	lat	
foreign	amulette	fra	
entry	Amygdala	0	
orth	Amygdala	lat	
foreign	amygdale	fra	
entry	Amygdalatum	0	
orth	Amygdalatum	lat	
foreign	amandé	fra	
entry	Amylum	0	
orth	Amylum	lat	
foreign	amidon	fra	
pb	370	0386	
entry	Amynteria	0	
orth	Amynteria	lat	
foreign	amulette	fra	
entry	Amynticus	0	
orth	Amynticus	lat	
foreign	amyntique	fra	
entry	Anabrochismus	0	
orth	Anabrochismus	lat	
foreign	anabrochisme	fra	
entry	Anabrosis	0	
orth	Anabrosis	lat	
foreign	anabrose	fra	
entry	Anacampticus	0	
orth	Anacampticus	lat	
foreign	anacamptique	fra	
entry	Anacatharsis	0	
orth	Anacatharsis	lat	
