object			
volume	37020d	Littré-Robin (1865-1873)	1873
clique	aurone		
entry	Abruption	0	
orth	Abruption		
foreign	abruptio	lat	
foreign	ubbrechen	deu	
foreign	abruption	eng	
foreign	rottura	ita	
entry	Abrus	0	
orth	Abrus		
clique	Abre		
entry	Abrutissement	0	
orth	Abrutissement		
entry	Abscision, Abscission	0	
orth	Abscision		
orth	Abscission		
foreign	ἀποκοπή	grc	
clique	excision		
entry	Absence	0	
orth	Absence		
clique	Épilepsie		
entry	Absinthe	0	
orth	Absinthe		
foreign	absinthium	lat	
foreign	Wurmtod	deu	
foreign	Wermuth	deu	
foreign	wormwood	eng	
foreign	assenzio	ita	
foreign	asenjo	spa	
foreign	ἀψίνθιον	grc	
term	Absinthe commune		
term	grande absinthe		
clique	Absinthe commune | grande absinthe | Huile | absinthisme | Huile médicinale		
term	Petite		
clique	Petite		
term	Sel d’absinthe		
clique	Sel d’absinthe | Carbonate | Sel | Carbonate de potasse		
entry	Absinthé	0	
orth	Absinthé		
foreign	absinthiatus	lat	
entry	Absinthine	0	
orth	Absinthine		
pb	0007	0021	
entry	Absinthique	0	
orth	Absinthique		
term	Acide absinthique		
clique	Acide absinthique | Succinique		
entry	Absinthisme	0	
orth	Absinthisme		
entry	Absolu	0	
orth	Absolu		
entry	Absorbable	0	
orth	Absorbable		
entry	Absorbant	0	
orth	Absorbant		
foreign	absorbens	lat	
foreign	ahsorbirend	deu	
foreign	aufsaugend	deu	
foreign	absorbent	eng	
foreign	absorptive	eng	
foreign	assorbente	ita	
foreign	ἀναπίνων	grc	
clique	charpie		
clique	amadou		
clique	agaric		
term	Bouches absorbantes		
clique	Bouches absorbantes | Bouche | Poudre | Tablette		
term	Système absorbant		
clique	Système absorbant | Lymphatique		
term	Pouvoir absorbant		
clique	Pouvoir absorbant | Pouvoir		
entry	Absorption	0	
orth	Absorption		
foreign	absorptio	lat	
foreign	Aufsaugung	deu	
foreign	Einsaugung	deu	
foreign	absorbing	eng	
foreign	assorzione	ita	
foreign	absorcion	spa	
clique	Nutrition		
term	Absorption aérienne		
clique	Absorption aérienne | Respiration		
