page	refimg	chapitre
308	0307	Hucher (Jean) - Hudson (Guillaume) - Huenerwolf (Jacques-Auguste) - Hufeland (Christophe-Guillaume)
309	0308	Hufeland (Christophe-Guillaume)
310	0309	Hufeland (Christophe-Guillaume) - Hugkel (Jean-Jacques) - Hulme (Nathaniel)
311	0310	Hulme (Nathaniel) - Humeau (François) - Humelsberg (Gabriel) - Hunauld (François-Joseph)
312	0311	Hunauld (Pierre)
313	0312	Hunauld (Pierre) - Hunczovski (Jean)
314	0313	Hund (Magnus de) - Hundertmark (Charles-Frédéric)
315	0314	Hundertmark (Charles-Frédéric) - Hundertmark (Henri-Elie) - Hunnius (François-Guillaume-Chrétien) - Hunter (Guillaume)
316	0315	Hunter (Guillaume)
317	0316	Hunter (Guillaume)
318	0317	Hunter (Guillaume) - Hunter (Jean)
319	0318	Hunter (Jean)
320	0319	Hunter (Jean)
321	0320	Hunter (Jean) - Hunyadi (François) - Husson (Henri-Marie)
322	0321	Husson (Henri-Marie) - Hussty de Rassinya (Zacharie-Théophile)
323	0322	Hussty de Rassinya (Zacharie-Théophile) - Huszty (Etienne) - Huth (Georges-Léonhard)
324	0323	Huth (Georges-Léonhard) - Huxham (Jean) - Huxholz (Wolrad)
325	0324	Huxholz (Wolrad) - Lettre I - Iccus
326	0325	Iccus - Imperato (Ferrante) - Imperiali (Jean-Baptiste)
327	0326	Imperiali (Jean-Baptiste) - Ingenhousz (Jean)
328	0327	Ingenhousz (Jean) - Ingolstetter (Jean)
329	0328	Ingolstetter (Jean) - Ingrassia (Jean-Philippe) 
330	0329	Ingrassia (Jean-Philippe) - Isenflamm (Henri-Frédéric) - Isenflamm (Jacques-Frédéric)
331	0330	Isenflamm (Jacques-Frédéric) 
332	0331	Isenflamm (Jacques-Frédéric) - Itard (J.E.M.G.)
333	0332	Itard (J.E.M.G.)
334	0333	Itard (J.E.M.G.) - Ittig (Jean) - Ittner (François-Georges-Ignace)
335	0334	Lettre J - Jacchaeus (Gilbert) - Jacchinus (Léonard) - Jackson (Robert)
336	0335	Jackson (Robert) - Jacobaeus (Mathieu) - Jacobaeus (Oliger)
337	0336	Jacobaeus (Oliger) - Jacopi (Joseph) - Jacquin (Nicolas-Joseph)
338	0337	Jacquin (Nicolas-Joseph)
339	0338	Jacquin (Nicolas-Joseph) - Jadelot (Nicolas) - Jaeger (Chrétien-Frédéric)
340	0339	Jaeger (Chrétien-Frédéric)
341	0340	Jaeger (Chrétien-Frédéric) - Jagemann (Jean-Michel-Auguste) - Jahn (Frédéric)
342	0341	Jahn (Frédéric) - Jallabert (Louis)
343	0342	Jallabert (Louis)
344	0343	Jallabert (Louis) - James (Robert)
345	0344	James (Robert) - Janke (Jean-Godefroy)
346	0345	Janke (Jean-Godefroy) - Jansen (François-Xavier) - Jantke (Jean-Jacques)
347	0346	Jasolini (Jules) - Jault (Augustin-François)
348	0347	Jault (Augustin-François) - Jawandt (Georges-Henri) - Jeanroi (Dieudonné)
