livanc.clenum
9268	34823x08	Bouley 8	1866
9269	34823x09	Bouley 9	1871
9270	34823x10	Bouley 10	1874
9271	34823x11	Bouley 11	1880
9272	34823x12	Bouley 12	1883
9273	34823x13	Bouley 13	1885
9274	34823x14	Bouley 14	1887
9275	34823x15	Bouley 15	1888
9276	34823x16	Bouley 16	1888
9277	34823x17	Bouley 17	1889
9278	34823x18	Bouley 18	1890
9279	34823x19	Bouley 19	1891
9280	34823x20	Bouley 20	1892
9281	34823x21	Bouley 21	1892
9282	34823x22	Bouley 22	1894
3486	extbnfbeaudex01	Beaude 1	1849
3487	extbnfbeaudex02	Beaude 2	1849
3464	extbnfadelonx001	Adelon 1e ed. . - 1	1821
3465	extbnfadelonx002	Adelon 1e ed. . - 2	1821
3466	extbnfadelonx003	Adelon 1e ed. . - 3	1821
3467	extbnfadelonx004	Adelon 1e ed. . - 4	1822
3468	extbnfadelonx005	Adelon 1e ed. . - 5	1822
3469	extbnfadelonx006	Adelon 1e ed. . - 6	1823
3470	extbnfadelonx007	Adelon 1e ed. . - 7	1823
3471	extbnfadelonx008	Adelon 1e ed. . - 8	1823
3472	extbnfadelonx009	Adelon 1e ed. . - 9	1824
3473	extbnfadelonx010	Adelon 1e ed. . - 10	1824
3474	extbnfadelonx011	Adelon 1e ed. . - 11	1824
3475	extbnfadelonx012	Adelon 1e ed. . - 12	1825
3476	extbnfadelonx013	Adelon 1e ed. . - 13	1825
3477	extbnfadelonx014	Adelon 1e ed. . - 14	1826
3478	extbnfadelonx015	Adelon 1e ed. . - 15	1826
3479	extbnfadelonx016	Adelon 1e ed. . - 16	1826
3480	extbnfadelonx017	Adelon 1e ed. . - 17	1827
3481	extbnfadelonx018	Adelon 1e ed. . - 18	1827
3482	extbnfadelonx019	Adelon 1e ed. . - 19	1827
3483	extbnfadelonx020	Adelon 1e ed. . - 20	1828
3484	extbnfadelonx021	Adelon 1e ed. . - 21	1828
3589	extbnfdezeimerisx01	Dezeimeris 1	1828
3590	extbnfdezeimerisx02	Dezeimeris 2	1834
3591	extbnfdezeimerisx03	Dezeimeris 3	1836
3592	extbnfdezeimerisx04	Dezeimeris 4	1839
5102	01208	Chomel	1709
9225	20311	Dechambre et al.	1885
9226	21575x01	Labarthe 1	1887
9227	21575x02	Labarthe 2	1887
8150	26087	Lar. de guerre	1917
9224	269035	Lar. méd. ill.	1924
9222	27898	Littré - Gilbert (21e éd.)	1908
8160	45392	Lavoisien	1793
9238	47661x59	Panckoucke 58	1822
9239	47661x60	Panckoucke 58	1822
9223	57503	Coster	1829
3485	extbnfnysten	Nysten 1833	1833
3488	extbnfpoujol	Poujol	1857
3593	extbnfrivetx01	Rivet 1	1803
3594	extbnfrivetx02	Rivet 2	1805
3395	00216x05	James 5	1748
3393	00216x03	James 3	1747
1856	47661x47	Panckoucke 47	1820
1855	47661x46	Panckoucke 46	1820
1862	47661x53	Panckoucke 53	1821
1861	47661x52	Panckoucke 52	1821
1867	47661x58	Panckoucke 58	1822
1866	47661x57	Panckoucke 57	1821
1865	47661x56	Panckoucke 56	1821
1864	47661x55	Panckoucke 55	1821
1863	47661x54	Panckoucke 54	1821
1860	47661x51	Panckoucke 51	1821
1859	47661x50	Panckoucke 50	1820
1858	47661x49	Panckoucke 49	1820
1857	47661x48	Panckoucke 48	1820
1854	47661x45	Panckoucke 45	1820
1853	47661x44	Panckoucke 44	1820
1852	47661x43	Panckoucke 43	1820
1861	47661x52	Panckoucke 52	1821
1851	47661x42	Panckoucke 42	1820
1814	47661x41	Panckoucke 41	1820
1813	47661x40	Panckoucke 40	1819
1812	47661x39	Panckoucke 39	1819
1811	47661x38	Panckoucke 38	1819
1810	47661x37	Panckoucke 37	1819
1786	47661x36	Panckoucke 36	1819
1785	47661x35	Panckoucke 35	1819
1784	47661x34	Panckoucke 34	1819
1781	47661x33	Panckoucke 33	1819
1779	47661x32	Panckoucke 32	1819
1777	47661x31	Panckoucke 31	1819
1776	47661x30	Panckoucke 30	1818
1629	47661x29	Panckoucke 29	1818
1628	47661x28	Panckoucke 28	1818
1627	47661x27	Panckoucke 27	1818
1626	47661x26	Panckoucke 26	1818
1625	47661x25	Panckoucke 25	1818
1624	47661x24	Panckoucke 24	1818
1623	47661x23	Panckoucke 23	1818
1622	47661x22	Panckoucke 22	1818
1621	47661x21	Panckoucke 21	1817
1620	47661x20	Panckoucke 20	1817
1619	47661x19	Panckoucke 19	1817
1618	47661x18	Panckoucke 18	1817
1617	47661x17	Panckoucke 17	1816
1616	47661x16	Panckoucke 16	1816
1615	47661x15	Panckoucke 15	1816
1614	47661x14	Panckoucke 14	1815
1613	47661x13	Panckoucke 13	1815
1787	47661x12	Panckoucke 12	1815
1612	47661x11	Panckoucke 11	1815
1611	47661x10	Panckoucke 10	1814
1610	47661x09	Panckoucke 9	1814
1609	47661x08	Panckoucke 8	1814
1608	47661x07	Panckoucke 7	1813
1607	47661x06	Panckoucke 6	1813
1606	47661x05	Panckoucke 5	1813
1500	47661x04	Panckoucke 4	1812
1499	47661x03	Panckoucke 3	1812
1498	47661x02	Panckoucke 2	1812
1497	47661x01	Panckoucke 1	1812
43003	pharma_013686x01	Buc’hoz Minéralogie	1772
43004	pharma_013686x02	Buc’hoz Minéralogie	1772
43005	pharma_013686x03	Buc’hoz Minéralogie	1772
43006	pharma_013686x04	Buc’hoz Minéralogie	1776
43008	pharma_019127x01	Buc’hoz Plantes 	1770
43009	pharma_019127x02	Buc’hoz Plantes 	1770
43010	pharma_019127x03	Buc’hoz Plantes 	1770
43011	pharma_019127x04	Buc’hoz Plantes 	1771
47174	pharma_006061x01	Dujardin-Beaumetz	1883
47175	pharma_006061x02	Dujardin-Beaumetz	1885
47176	pharma_006061x03	Dujardin-Beaumetz	1887
47178	pharma_006061x05	Dujardin-Beaumetz	1895
47180	pharma_014023x01	Mérat	1829
47181	pharma_014023x02	Mérat	1830
47182	pharma_014023x03	Mérat	1831
47183	pharma_014023x04	Mérat	1832
47184	pharma_014023x05	Mérat	1833
47185	pharma_014023x06	Mérat	1834
47188	Pharma_014236x01	Roussel	1859
47188	pharma_014236x01	Roussel	1859
47189	pharma_014236x02	Roussel	1859
47190	pharma_014236x03	Roussel	1859
47191	pharma_014236x04	Roussel	1859
47192	pharma_014236x05	Roussel	1859
47194	pharma_019128x01	Plantes alimentaires	1803
47195	pharma_019128x02	Plantes alimentaires	1803
47197	pharma_019129x01	Jolyclerc	1797
47198	pharma_019129x02	Jolyclerc	1797
47199	pharma_019129x03	Jolyclerc	1797
47200	pharma_019129x04	Jolyclerc	1797
47201	pharma_019129x05	Jolyclerc	1797
47202	pharma_019129x06	Jolyclerc	1797
47204	pharma_019428x01	Gissey	1750
47205	pharma_019428x02	Gissey	1750
47206	pharma_019428x03	Gissey	1750
3311	27518	Bouchut	1867
47177	pharma_006061x04	Dujardin-Beaumetz	1889
47186	pharma_014023x07	Mérat	1846
63407	pharma_000103x01	Chomel 1741	1741
63408	pharma_000103x02	Chomel 1741	1741
63409	pharma_000103x03	Chomel 1741	1741
63410	pharma_000103x04	Chomel 1741	1741
87720	31873x01	Dufieu t. 1	1766
87721	31873x02	Dufieu t. 2	1766
2874	32923x01	Jaccoud 1	1864
2875	32923x02	Jaccoud 2	1865
2876	32923x03	Jaccoud 3	1865
2877	32923x04	Jaccoud 4	1866
2878	32923x05	Jaccoud 5	1866
2879	32923x06	Jaccoud 6	1867
2880	32923x07	Jaccoud 7	1867
2881	32923x08	Jaccoud 8	1868
2882	32923x09	Jaccoud 9	1869
2883	32923x10	Jaccoud 10	1869
2884	32923x11	Jaccoud 11	1869
2885	32923x12	Jaccoud 12	1870
2886	32923x13	Jaccoud 13	1870
2887	32923X14	Jaccoud 14	1871
2887	32923x14	Jaccoud 14	1871
2887	32923X14	Jaccoud 14	1871
2888	32923x15	Jaccoud 15	1872
2889	32923x16	Jaccoud 16	1872
2890	32923x17	Jaccoud 17	1873
2891	32923x18	Jaccoud 18	1874
2892	32923x19	Jaccoud 19	1874
2893	32923x20	Jaccoud 20	1875
2894	32923x21	Jaccoud 21	1875
2895	32923x22	Jaccoud 22	1876
2896	32923x23	Jaccoud 23	1877
2897	32923x24	Jaccoud 24	1877
2898	32923x25	Jaccoud 25	1878
2899	32923x26	Jaccoud 26	1878
2900	32923x27	Jaccoud 27	1879
2901	32923x28	Jaccoud 28	1880
2902	32923x29	Jaccoud 29	1880
2903	32923x30	Jaccoud 30	1881
2904	32923x31	Jaccoud 31	1882
2905	32923x32	Jaccoud 32	1882
2906	32923x33	Jaccoud 33	1882
2907	32923x34	Jaccoud 34	1883
2908	32923x35	Jaccoud 35	1883
2909	32923x36	Jaccoud 36	1884
2910	32923x37	Jaccoud 37	1885
2911	32923x38	Jaccoud 38	1885
2912	32923x39	Jaccoud 39	1886
2913	32923x40	Jaccoud 40	1886
186674	extalfobuchozx01	Buc'hoz (animaux)	1775
186675	extalfobuchozx02	Buc'hoz (animaux)	1775
186676	extalfobuchozx03	Buc'hoz (animaux)	1775
186677	extalfobuchozx04	Buc'hoz (animaux)	1775
186678	extalfobuchozx05	Buc'hoz (animaux)	1775
186679	extalfobuchozx06	Buc'hoz (animaux)	1775
193310	extalfodarbovalx01	D'Arboval	1838
193311	extalfodarbovalx02	D'Arboval	1838
193312	extalfodarbovalx03	D'Arboval	1838
193313	extalfodarbovalx04	D'Arboval	1839
193314	extalfodarbovalx05	D'Arboval	1838
193315	extalfodarbovalx06	D'Arboval	1839
194075	35573x01	Panckoucke abrégé	1821
194076	35573x02	Panckoucke abrégé	1821
194077	35573x03	Panckoucke abrégé	1821
194078	35573x04	Panckoucke abrégé	1821
194079	35573x05	Panckoucke abrégé	1822
194080	35573x06	Panckoucke abrégé	1822
194081	35573x07	Panckoucke abrégé	1822
194082	35573x08	Panckoucke abrégé	1823
194083	35573x09	Panckoucke abrégé	1823
194084	35573x10	Panckoucke abrégé	1824
194085	35573x11	Panckoucke abrégé	1824
194086	35573x12	Panckoucke abrégé	1825
194087	35573x13	Panckoucke abrégé	1825
194088	35573x14	Panckoucke abrégé	1826
194089	35573x15	Panckoucke abrégé	1826
194131	21244	Carnoy	1903
295417	pharma_p11247x1920	Vidal	1920
295418	pharma_p11247x1921	Vidal	1921
295419	pharma_p11247x1923	Vidal	1923
295420	pharma_p11247x1924	Vidal	1924
295421	pharma_p11247x1925	Vidal	1925
295422	pharma_p11247x1927	Vidal	1927
295423	pharma_p11247x1928	Vidal	1928
295424	pharma_p11247x1929	Vidal	1929
