object			
volume	00152	De Gorris index (1601)	1601
orth	Apium montanum	lat	
foreign	ὀρεοσέλινον	grc	
entry	Apollinaris herba	0	
orth	Apollinaris herba	lat	
foreign	ὑοσκύαμος	grc	
foreign	συμφωνιακή	grc	
entry	Apparens	0	
orth	Apparens	lat	
foreign	φαινόμενον	grc	
entry	Appetentia	0	
orth	Appetentia	lat	
foreign	ὄρεξις	grc	
entry	Appetentia canina	0	
orth	Appetentia canina	lat	
foreign	ὄρεξις κυνώδης	grc	
foreign	φαγέδαινα	grc	
entry	Appetitrix facultas	0	
orth	Appetitrix facultas	lat	
foreign	ἐπιθυμητικὴ δύναμις	grc	
entry	Appetitus	0	
orth	Appetitus	lat	
foreign	βολβός	grc	
entry	Appositio	0	
orth	Appositio	lat	
foreign	πρόσθεσις	grc	
entry	Aqua	0	
orth	Aqua	lat	
foreign	ὕδωρ	grc	
entry	Aquae metus	0	
orth	Aquae metus	lat	
foreign	ὑδροφοβία	grc	
entry	Aqua mulsa	0	
orth	Aqua mulsa	lat	
foreign	μελίκρατον	grc	
foreign	ὑδρόμελι	grc	
entry	Aqua oleo mista	0	
orth	Aqua oleo mista	lat	
foreign	ὑδρέλαιον	grc	
entry	Aqua rosaceo mista	0	
orth	Aqua rosaceo mista	lat	
foreign	ὑδρορόδινον	grc	
entry	Aqueum	0	
orth	Aqueum	lat	
foreign	ὑδατῶδες	grc	
entry	Aqueus humor	0	
orth	Aqueus humor	lat	
foreign	ὑδατῶδες ὑγρόν	grc	
entry	Aquifolium	0	
orth	Aquifolium	lat	
foreign	ἀγρία κραταιγών	grc	
entry	Aquilae lapis	0	
orth	Aquilae lapis	lat	
foreign	ἀετίτης	grc	
entry	Aquilo	0	
orth	Aquilo	lat	
foreign	βοῤῥᾶς	grc	
entry	Aquosus ramex	0	
orth	Aquosus ramex	lat	
foreign	ὑδροκήλη	grc	
entry	Aquula	0	
orth	Aquula	lat	
foreign	ὑδατίς	grc	
