titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_47667	47667x07	1825	Tome 7	2961
_35573	35573x01	1821		194075
_35573	35573x02	1821		194076
_35573	35573x03	1821		194077
_35573	35573x04	1821		194078
_35573	35573x05	1822		194079
_35573	35573x06	1822		194080
_35573	35573x07	1822		194081
_35573	35573x08	1823		194082
_35573	35573x09	1823		194083
_35573	35573x10	1824		194084
_35573	35573x11	1824		194085
_35573	35573x12	1825		194086
_35573	35573x13	1825		194087
_35573	35573x14	1826		194088
_35573	35573x15	1826		194089
_extbnfadelon	extbnfadelonx001	1821	tome 1, A - ALI	3464
_extbnfadelon	extbnfadelonx002	1821	tome 2, A - ARG	3465
_extbnfadelon	extbnfadelonx003	1821	tome 3, ARG - BUT	3466
_extbnfadelon	extbnfadelonx004	1822	tome 4, CAB - CEV	3467
_extbnfadelon	extbnfadelonx005	1822	tome 5, CHA - CON	3468
_extbnfadelon	extbnfadelonx006	1823	tome 6, COP - DIG	3469
_extbnfadelon	extbnfadelonx007	1823	tome 7, DIG - ENC	3470
_extbnfadelon	extbnfadelonx008	1823	tome 8, ENC - FIE	3471
_extbnfadelon	extbnfadelonx009	1824	tome 9, FIEV - GALL	3472
_extbnfadelon	extbnfadelonx010	1824	tome 10, GALV - HEMA	3473
_extbnfadelon	extbnfadelonx011	1824	tome 11, HEME - HYST	3474
_extbnfadelon	extbnfadelonx012	1825	tome 12, I - LAMP	3475
_extbnfadelon	extbnfadelonx013	1825	tome 13, LANC - MARU	3476
_extbnfadelon	extbnfadelonx014	1826	tome 14, MAXI - MYRT	3477
_extbnfadelon	extbnfadelonx015	1826	tome 15, N - ORP	3478
_extbnfadelon	extbnfadelonx016	1826	tome 16, ORT - PIV	3479
_extbnfadelon	extbnfadelonx017	1827	tome 17, PLA - PRU	3480
_extbnfadelon	extbnfadelonx018	1827	tome 18, PSE - RUT	3481
_extbnfadelon	extbnfadelonx019	1827	tome 19, S - STY	3482
_extbnfadelon	extbnfadelonx020	1828	tome 20, SUB - TUT	3483
_extbnfadelon	extbnfadelonx021	1828	tome 21, TYM - ZYG	3484
_extbnfdezeimeris	extbnfdezeimerisx01	1828		3589
_extbnfdezeimeris	extbnfdezeimerisx02	1834		3590
_extbnfdezeimeris	extbnfdezeimerisx03	1836		3591
_extbnfdezeimeris	extbnfdezeimerisx04	1839		3592
_34826	34826x01	1829	Tome premier (A-ALIEN)	2677
_34826	34826x02	1829	Tome deuxième (ALIM-ANHEL)	2678
_34826	34826x03	1829	Tome troisième (ANIM-BAIN)	2679
_34826	34826x04	1830	Tome quatrième (BALA-CARV)	2680
_34826	34826x05	1830	Tome cinquième (CASC-CUIV)	2681
_34826	34826x06	1831	Tome sixième (CVAN-ECZE)	2682
_34826	34826x07	1831	Tome septième (ELE-EXU)	2683
