object			
volume	00152	Des Gorris (1601)	1601
foreign	ἄσὸρον	grc	
entry	Balaustium	0	
orth	Balaustium	lat	
foreign	βαλαῦστιον	grc	
entry	Balbuties	0	
orth	Balbuties	lat	
foreign	δλλότης,	grc	
entry	Ballaeria	0	
orth	Ballaeria	lat	
foreign	λύχιις	grc	
entry	Balneum	0	
orth	Balneum	lat	
foreign	βαλανεῖον	grc	
entry	Balneum Mariae	0	
orth	Balneum Mariae	lat	
foreign	δπλωμα	grc	
entry	Barba	0	
orth	Barba	lat	
foreign	πὼγων	grc	
foreign	ὑπὴνη	grc	
entry	Barba Dei	0	
orth	Barba Dei	lat	
foreign	γιροντοπωγρ	grc	
entry	Barbotina	0	
orth	Barbotina	lat	
foreign	ἀψνθὸν	grc	
entry	Barbula hirci	0	
orth	Barbula hirci	lat	
foreign	κòμηταγοπάγον	grc	
entry	Bdellii lacryma	0	
orth	Bdellii lacryma	lat	
foreign	ἀδρθβῶλον	grc	
entry	Berberis	0	
orth	Berberis	lat	
foreign	ἐυάκαηθα	grc	
entry	Besasa	0	
orth	Besasa	lat	
foreign	pῶλυ	grc	
entry	Beta	0	
orth	Beta	lat	
foreign	τεὸπλον	grc	
entry	Betonica	0	
orth	Betonica	lat	
foreign	βρετασικη	grc	
foreign	κέστρον	grc	
entry	Bezaar	0	
orth	Bezaar	lat	
entry	Bicorne	0	
orth	Bicorne	lat	
foreign	ὑοειδὲς ὅστοιαν	grc	
entry	Biera	0	
orth	Biera	lat	
foreign	βuνη	grc	
entry	Biliosi	0	
orth	Biliosi	lat	
foreign	πτκρέχολοι	grc	
entry	Bilis	0	
orth	Bilis	lat	
foreign	χολὴ	grc	
entry	Bilis amara	0	
orth	Bilis amara	lat	
foreign	πικώχολος γυμὸς	grc	
entry	Bilis atra	0	
orth	Bilis atra	lat	
foreign	χολημελανα	grc	
entry	Bilis pallida	0	
orth	Bilis pallida	lat	
foreign	πιηρόχολος γυμὸς	grc	
entry	Bismalua	0	
orth	Bismalua	lat	
foreign	ἀλήέα	grc	
entry	Bistorta	0	
orth	Bistorta	lat	
foreign	βρετανικὴ	grc	
foreign	ἐπλάσυλλον	grc	
foreign	κατανάγκη	grc	
entry	Bitumen	0	
orth	Bitumen	lat	
foreign	ἀσφαλτος	grc	
foreign	πισσασφαλτες	grc	
entry	Blaesitas	0	
orth	Blaesitas	lat	
foreign	πραυλέτης	grc	
entry	Blaesus	0	
