object	
volume	00152	Des Gorris (1601)	1601
ref	Des Gorris 1601
pb	0525	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0535/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0535
pb	0526	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0536/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0536
foreign	grc	βαλανεῖον
entry	Balneum Mariae	0	
orth	Balneum Mariae	lat
foreign	grc	δπλωμα
entry	Barba	0	
orth	Barba	lat
foreign	grc	πὼγων
foreign	grc	ὑπὴνη
entry	Barba Dei	0	
orth	Barba Dei	lat
foreign	grc	γιροντοπωγρ
entry	Barbotina	0	
orth	Barbotina	lat
foreign	grc	ἀψνθὸν
entry	Barbula hirci	0	
orth	Barbula hirci	lat
foreign	grc	κòμηταγοπάγον
entry	Bdellii lacryma	0	
orth	Bdellii lacryma	lat
foreign	grc	ἀδρθβῶλον
entry	Berberis	0	
orth	Berberis	lat
foreign	grc	ἐυάκαηθα
entry	Besasa	0	
orth	Besasa	lat
foreign	grc	pῶλυ
entry	Beta	0	
orth	Beta	lat
foreign	grc	τεὸπλον
entry	Betonica	0	
orth	Betonica	lat
foreign	grc	βρετασικη
foreign	grc	κέστρον
entry	Bezaar	0	
orth	Bezaar	lat
entry	Bicorne	0	
orth	Bicorne	lat
foreign	grc	ὑοειδὲς ὅστοιαν
entry	Biera	0	
orth	Biera	lat
foreign	grc	βuνη
entry	Biliosi	0	
orth	Biliosi	lat
foreign	grc	πτκρέχολοι
entry	Bilis	0	
orth	Bilis	lat
foreign	grc	χολὴ
entry	Bilis amara	0	
orth	Bilis amara	lat
foreign	grc	πικώχολος γυμὸς
entry	Bilis atra	0	
orth	Bilis atra	lat
foreign	grc	χολημελανα
entry	Bilis pallida	0	
orth	Bilis pallida	lat
foreign	grc	πιηρόχολος γυμὸς
entry	Bismalua	0	
orth	Bismalua	lat
foreign	grc	ἀλήέα
entry	Bistorta	0	
orth	Bistorta	lat
foreign	grc	βρετανικὴ
foreign	grc	ἐπλάσυλλον
foreign	grc	κατανάγκη
entry	Bitumen	0	
orth	Bitumen	lat
foreign	grc	ἀσφαλτος
foreign	grc	πισσασφαλτες
entry	Blaesitas	0	
orth	Blaesitas	lat
foreign	grc	πραυλέτης
entry	Blaesus	0	
orth	Blaesus	lat
foreign	grc	βλαίστὸς
foreign	grc	τραυλὸς
entry	Blitum	0	
orth	Blitum	lat
foreign	grc	βλιτον
foreign	grc	ἔνόβλιτον
entry	Blitum syluestre	0	
orth	Blitum syluestre	lat
foreign	grc	χυνια
entry	Boaria herba	0	
orth	Boaria herba	lat
foreign	grc	βεσθτάλνος
entry	Boletus	0	
orth	Boletus	lat
foreign	grc	βωλίτης
entry	Bonifacia	0	
orth	Bonifacia	lat
foreign	grc	δάσνη ἀλαρονδρεῖς
entry	Borago	0	
orth	Borago	lat
foreign	grc	βουγλῶσσον
entry	Boreas	0	
orth	Boreas	lat
foreign	grc	βoῤραῖ
entry	Bosci saluia	0	
orth	Bosci saluia	lat
foreign	grc	πολεμῶνιον
entry	Bouis oculus	0	
orth	Bouis oculus	lat
foreign	grc	βουφθάλμος
entry	Brachiale	0	
orth	Brachiale	lat
foreign	grc	κάρπος
entry	Brachium	0	
orth	Brachium	lat
foreign	grc	βράχων
foreign	grc	χὰς
entry	Branca vrsina	0	
orth	Branca vrsina	lat
foreign	grc	ἄναντα
entry	Brassica	0	
orth	Brassica	lat
foreign	grc	κράμβη
entry	Brassica canina	0	
orth	Brassica canina	lat
foreign	grc	ἀποκύνον
foreign	grc	χωνοκράμβη
entry	Britanica	0	
orth	Britanica	lat
foreign	grc	βρετανικὴ
entry	Bruscus	0	
orth	Bruscus	lat
foreign	grc	ἐξυμυροῖνη
entry	Bryaria	0	
orth	Bryaria	lat
foreign	grc	μυεὶκη
entry	Bryonia	0	
orth	Bryonia	lat
foreign	grc	ἀμπελολεύκη
foreign	grc	ἀμπλοςμὲλαινα
entry	Bucca	0	
orth	Bucca	lat
foreign	grc	γῶθτος
entry	Buccella purgatoria	0	
orth	Buccella purgatoria	lat
foreign	grc	βεήλατο
entry	Buccinum	0	
orth	Buccinum	lat
foreign	grc	δελφὶνιον
entry	Buglossum	0	
orth	Buglossum	lat
foreign	grc	βέγλωσσον
foreign	grc	νηπενθὲς
entry	Bulbus	0	
orth	Bulbus	lat
foreign	grc	βολβοὸς
foreign	grc	ἐρμοδὰκτυλος
entry	Bulbus agrestis	0	
orth	Bulbus agrestis	lat
foreign	grc	ἐφήμερον
entry	Bulla	0	
orth	Bulla	lat
foreign	grc	πομφύλυξ
entry	Buprestis	0	
orth	Buprestis	lat
foreign	grc	βούπρηστις
entry	Burga spina	0	
orth	Burga spina	lat
foreign	grc	ρὰμὴος
entry	Butyrum	0	
orth	Butyrum	lat
foreign	grc	βοέτυρον
entry	Buxus	0	
orth	Buxus	lat
foreign	grc	πῆρος
entry	Cabaret	0	
orth	Cabaret	lat
foreign	grc	ἀδορον
entry	Cacabulum	0	
orth	Cacabulum	lat
foreign	grc	σρυγιον
entry	Cadmia	0	
orth	Cadmia	lat
foreign	grc	καδμία
entry	Cadus	0	
orth	Cadus	lat
foreign	grc	ἀμφρρευς
foreign	grc	κεράμιον
foreign	grc	μετρητὴς
entry	Calamenthum	0	
orth	Calamenthum	lat
foreign	grc	ναλαμντη
entry	Calamintha	0	
orth	Calamintha	lat
foreign	grc	καλάμέντη
entry	Calamus odoratus	0	
orth	Calamus odoratus	lat
foreign	grc	κὰλαμος ἀρωματικός
entry	Calamus vnguentarius	0	
orth	Calamus vnguentarius	lat
foreign	grc	καλαμος ἀρωματικος
entry	Calcatrepa	0	
orth	Calcatrepa	lat
foreign	grc	ἄκανες
entry	Calculi morbus	0	
orth	Calculi morbus	lat
foreign	grc	λβιασις
entry	Calculus	0	
orth	Calculus	lat
foreign	grc	στιον
entry	Calidum	0	
orth	Calidum	lat
foreign	grc	θερμὸν
entry	Caligo oculi	0	
orth	Caligo oculi	lat
foreign	grc	ἄχλυς
entry	Callositas palpebrae	0	
orth	Callositas palpebrae	lat
foreign	grc	πκωσι
entry	Callosum	0	
orth	Callosum	lat
foreign	grc	τολοριδὲς
entry	Callus	0	
orth	Callus	lat
foreign	grc	πῶρος
entry	Caluaria	0	
orth	Caluaria	lat
foreign	grc	κρανίον
entry	Caluariae fractura	0	
orth	Caluariae fractura	lat
foreign	grc	ἐσωυε
entry	Caluitium	0	
orth	Caluitium	lat
foreign	grc	φαλακρότης
entry	Calx	0	
orth	Calx	lat
foreign	grc	ἀσρεστος
foreign	grc	κονια
foreign	grc	πτέρνη
entry	Camelina	0	
orth	Camelina	lat
foreign	grc	μαλάμπυρον
entry	Camomilla	0	
orth	Camomilla	lat
foreign	grc	ἀνθεμὶς
entry	Camphora	0	
orth	Camphora	lat
foreign	grc	κάσυρα
entry	Canalis	0	
orth	Canalis	lat
foreign	grc	σωλὴν
entry	Cancer	0	
orth	Cancer	lat
foreign	grc	καρκῖνος
